SERIAL NUMBER,VIOLATION STATUS, VIOLATION CODE,VIOLATION DESCRIPTION
DA4660537,OUT OF COMPLIANCE,RH39, COCKROACHES - UNIT
DA4661982,OUT OF COMPLIANCE,RH49,HEATING SYSTEM - UNIT
DA4661982,OUT OF COMPLIANCE,RH43,RODENTS - UNIT
DA4662390,OUT OF COMPLIANCE,RH39, COCKROACHES - UNIT
DA4662390,OUT OF COMPLIANCE,RH53,"COUNTER, CABINETS, VANITIES, VANITIES SHELVING, ETC. - UNIT"
DA4662390,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4662390,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4662390,OUT OF COMPLIANCE,RH07,WALL/FLOOR/CEILING - MOLD - UNIT
DA4662390,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT
DA4662722,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT
DA4662754,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4662754,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT
DA4662754,OUT OF COMPLIANCE,RH35,TUB/SHOWER STALL/SHOWER FIXTURES - UNIT
DA4663068,OUT OF COMPLIANCE,RH26,SEWER/DRAIN LINES - PREMISES
DA4663075,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4663075,OUT OF COMPLIANCE,RH03,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4663255,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4663255,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4663256,OUT OF COMPLIANCE,H030,REFUSE AREA/BINS - UNIT
DA4663670,OUT OF COMPLIANCE,RH23,HOT WATER/WATER HEATER - UNIT
DA4663937,OUT OF COMPLIANCE,P021,POOL WATER QUALITY - CLOUDY / TURBID / GREEN
DA4664110,OUT OF COMPLIANCE,F022,# 22. SEWAGE AND WASTEWATER PROPERLY DISPOSED
DA4664242,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA4664278,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES
DA4664783,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA4664783,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT
DA4664783,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT
