SERIAL NUMBER,VIOLATION STATUS, VIOLATION CODE,VIOLATION DESCRIPTION
DA087IAXI,HOUSING NON-CRITICAL,H014,TANK/BASE/BOWL/OTHER - UNIT
DA087IAXI,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DA087IAXI,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DA09WB14U,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA10DKI0V,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DA10DKI0V,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DA10DKI0V,HOUSING NON-CRITICAL,H083,INADEQUATE LIGHTING - PREMISES
DA6KHXZBU,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA6KHXZBU,HOUSING CRITICAL,H095,STAIRS - PREMISES
DA8WYHXZM,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA8WYHXZM,HOUSING NON-CRITICAL,H076,APPLIANCES - PREMISES
DA8WYHXZM,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DAAMKIVFV,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAAMKIVFV,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAAMKIVFV,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAAWMZO6K,HOUSING NON-CRITICAL,H031,CAST-OFFS/DEBRIS/WASTE - UNIT
DAD3HF0YZ,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAD3HF0YZ,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DADJN8KEP,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DADJN8KEP,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAEJTH8FL,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAG0RMR6F,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAGKS7ZOP,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAGM1XYEH,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAHRC1JNH,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAHYHPAUF,HOUSING NON-CRITICAL,H031,CAST-OFFS/DEBRIS/WASTE - UNIT
DAIBD3BCR,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAIMGAZLV,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAJJ0YLNF,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAJJ0YLNF,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAJJ0YLNF,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAQGJEYJY,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DARVIK700,HOUSING CRITICAL,H015,TUB/SHOWER STALL - UNIT
DARVIK700,HOUSING CRITICAL,H045,SINK BASIN - UNIT
DARVIK700,HOUSING CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DARVIK700,HOUSING CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DASG0L09F,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAU0CWRPM,HOUSING NON-CRITICAL,H088,ANIMALS - PREMISES
DAU0CWRPM,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DAU0CWRPM,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAUNSUXHP,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DAVPR40CD,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DAWHOETMT,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAX4CPIHH,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAYX5VXO5,HOUSING NON-CRITICAL,H001,COCKROACHES - UNIT
DAYX5VXO5,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAYZOBC7L,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAZ2CICFT,HOUSING NON-CRITICAL,H001,COCKROACHES - UNIT
DAZ2CICFT,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DAZHHZ0NV,HOUSING NON-CRITICAL,H001,COCKROACHES - UNIT
DA1VWWZFL,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA62UFR08,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA62UFR08,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA62UFR08,HOUSING NON-CRITICAL,H001,COCKROACHES - UNIT
DA62UFR08,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA8PVHV8W,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DABU614VK,HOUSING CRITICAL,H066,SEWER/DRAIN LINES - PREMISES
DAC4ZGXHA,HOUSING CRITICAL,H010,SEWER/DRAIN LINES - UNIT
DADAKMCX0,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DADAKMCX0,HOUSING NON-CRITICAL,H068,OUTLET/FIXTURES - PREMISES
DAE0ZE4TO,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAE0ZE4TO,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DAECEJMQ4,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DAFUSIWGT,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DAJ6GVJQ5,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAJ6GVJQ5,HOUSING NON-CRITICAL,H076,APPLIANCES - PREMISES
DAKWTJRMR,HOUSING NON-CRITICAL,H017,INOPERABLE - UNIT
DAKWTJRMR,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAKWTJRMR,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DANALVIGV,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DANALVIGV,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DAT7Z0ILB,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAW3EAYJ3,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DAZ6X16HJ,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA5YGIZJW,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA5YGIZJW,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA5YGIZJW,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA6BMPTIW,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA6HQFUTN,HOUSING NON-CRITICAL,H066,SEWER/DRAIN LINES - PREMISES
DA6HQFUTN,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAHIHORLI,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAVVCJMJU,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAVVCJMJU,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAXL1K6JE,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAXL1K6JE,HOUSING NON-CRITICAL,H083,INADEQUATE LIGHTING - PREMISES
DAYBTZVBS,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAYBTZVBS,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA0DSXU95,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA20HMPFA,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA20HMPFA,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA20HMPFA,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DA20HMPFA,HOUSING NON-CRITICAL,H021,BEDDING - UNIT
DA20HMPFA,HOUSING NON-CRITICAL,H013,WIRING - UNIT
DA5USTNC5,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA5USTNC5,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA5USTNC5,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DAA088KFF,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAAEQNQOX,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAAJFIHSC,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DACZSCSNQ,HOUSING NON-CRITICAL,H094,ROOF - PREMISES
DADFZ70QD,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DADIL1ST2,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DADQTQSXX,OUT OF COMPLIANCE,H046,BUILDING LACKING RAIN GUTTER SYSTEM
DADQTQSXX,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAEYE6TTE,HOUSING CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DAEYE6TTE,HOUSING CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAEYE6TTE,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DAG9WDIKO,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAIFL11YD,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAKK1TXIR,HOUSING CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAM18KFOT,HOUSING NON-CRITICAL,H014,TANK/BASE/BOWL/OTHER - UNIT
DAM18KFOT,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DAM18KFOT,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DAMK2YGCY,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAMK2YGCY,HOUSING NON-CRITICAL,H102,PERMIT AVAILABLE
DAMK2YGCY,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAMK2YGCY,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAMK2YGCY,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAMK2YGCY,HOUSING NON-CRITICAL,H067,COVER PLATES - PREMISES
DARINRJP1,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAUIBPEIB,HOUSING NON-CRITICAL,H013,WIRING - UNIT
DAUIBPEIB,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAUIBPEIB,HOUSING NON-CRITICAL,H076,APPLIANCES - PREMISES
DAWWDWPRX,HOUSING NON-CRITICAL,H068,OUTLET/FIXTURES - PREMISES
DAEVGT5UD,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DAHEHI7KU,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DAHEHI7KU,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAJD0SPEK,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DALEOXJNM,HOUSING NON-CRITICAL,H066,SEWER/DRAIN LINES - PREMISES
DAMHD8EX9,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DAMHD8EX9,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAMHD8EX9,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DAMSCADVS,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DANA21EO0,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAP4TJCWG,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DARZPKMDC,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DASOKHYNX,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DASOKHYNX,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DASOKHYNX,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DASW9JRA0,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA0H3HQFY,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA0H3HQFY,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA0H3HQFY,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA0H3HQFY,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DA0H3HQFY,HOUSING NON-CRITICAL,H076,APPLIANCES - PREMISES
DA0H3HQFY,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DA1SVBSBJ,HOUSING NON-CRITICAL,H014,TANK/BASE/BOWL/OTHER - UNIT
DA1SVBSBJ,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DA1SVBSBJ,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DA2WYY14U,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DABE0IGU0,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DABE0IGU0,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAEBIZ4RX,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DAEBIZ4RX,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DAEBIZ4RX,HOUSING NON-CRITICAL,H044,FAUCET FIXTURES - UNIT
DAEBIZ4RX,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DAEBIZ4RX,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAEKY982M,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAGAH6DJB,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAGAH6DJB,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAGAH6DJB,HOUSING NON-CRITICAL,H076,APPLIANCES - PREMISES
DAHDX3AMC,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAHGCNVFK,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DAHGCNVFK,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAHGCNVFK,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DAHSP2GYO,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DALAEIZZJ,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DALKGQNHL,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAMQHGI6T,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DASJEPOJK,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAT1HOAE4,HOUSING NON-CRITICAL,H011,COVER PLATES - UNIT
DAT1HOAE4,HOUSING NON-CRITICAL,H022,FURNITURE - UNIT
DAT5TY80M,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DAT5TY80M,HOUSING NON-CRITICAL,H038,ROOF - UNIT
DAT5TY80M,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAYOCZR4A,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA2ZX5XUA,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DA2ZX5XUA,HOUSING NON-CRITICAL,H016,FIXTURES - UNIT
DA2ZX5XUA,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA2ZX5XUA,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA2ZX5XUA,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA2ZX5XUA,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA2ZX5XUA,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DA2ZX5XUA,HOUSING NON-CRITICAL,H021,BEDDING - UNIT
DA90NN0JE,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAJ94FGZR,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAPMP0YZC,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DAPMP0YZC,HOUSING NON-CRITICAL,H014,TANK/BASE/BOWL/OTHER - UNIT
DAPMP0YZC,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DAPMP0YZC,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DAPMP0YZC,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DAPMP0YZC,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAQ15PQJE,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAQ15PQJE,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DAQ15PQJE,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DARIVTBVO,HOUSING NON-CRITICAL,H014,TANK/BASE/BOWL/OTHER - UNIT
DARIVTBVO,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DARIVTBVO,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DARLV5AWG,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAV46I0SD,HOUSING NON-CRITICAL,H004,BEDBUGS - UNIT
DAV46I0SD,HOUSING NON-CRITICAL,H057,COCKROACHES - PREMISES
DAV46I0SD,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAV46I0SD,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DAV46I0SD,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAV46I0SD,HOUSING NON-CRITICAL,H076,APPLIANCES - PREMISES
DAVE52DRE,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAZESMKBS,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAZLRE0UU,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA0G0WE4M,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA0G0WE4M,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA0G0WE4M,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA0LJVLQ7,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA0TNXH7V,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA0UYV6ME,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA0UYV6ME,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA0UYV6ME,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA0UYV6ME,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA0UYV6ME,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA0UYV6ME,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA0UYV6ME,HOUSING NON-CRITICAL,H013,WIRING - UNIT
DA3TQMDNO,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA4YHXDYC,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA4YHXDYC,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAACAIAZT,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DAADNXCPS,HOUSING NON-CRITICAL,H010,SEWER/DRAIN LINES - UNIT
DAADNXCPS,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAAOHTWBE,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DAAOHTWBE,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAAOHTWBE,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DAAOHTWBE,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DAAOHTWBE,HOUSING CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DAAOHTWBE,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAAOHTWBE,HOUSING CRITICAL,H005,RATS/MICE - UNIT
DAAOHTWBE,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAAPWLYRA,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DACRBTZNC,HOUSING NON-CRITICAL,H011,COVER PLATES - UNIT
DACRBTZNC,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DACRBTZNC,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAEM4FXQM,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAEM4FXQM,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAFHAWTML,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAIYGOMV0,HOUSING NON-CRITICAL,H083,INADEQUATE LIGHTING - PREMISES
DAJ4ILW6C,HOUSING NON-CRITICAL,H009,INADEQUATE FLOW - UNIT
DAJ4ILW6C,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAJ4ILW6C,HOUSING NON-CRITICAL,H001,COCKROACHES - UNIT
DAJO6LMC4,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAL3YHUK0,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DALBULUA5,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DALFLVH3Q,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAMFXGY70,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DAMFXGY70,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAMNYOHJ2,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DAOVSEBHU,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAPKNQSG5,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAPKNQSG5,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAQ0IWNPT,HOUSING NON-CRITICAL,H076,APPLIANCES - PREMISES
DAQ8Y0MQB,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAQVFMUBN,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAR8LAD8K,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DARYLTBTQ,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DAS6W3VT5,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DASU8EDK4,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DASU8EDK4,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DASVT9F0F,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DATBF2DIV,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DAWJXPAG4,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAXJEHSIX,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DAYGLQDCP,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DAYGLQDCP,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA0EHGZKQ,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DA0EHGZKQ,HOUSING NON-CRITICAL,H014,TANK/BASE/BOWL/OTHER - UNIT
DA0EHGZKQ,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DA11AWITR,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA11AWITR,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA4G6QKTV,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA4G6QKTV,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA4XW9V1X,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA4XW9V1X,HOUSING NON-CRITICAL,H088,ANIMALS - PREMISES
DA4XW9V1X,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA4XW9V1X,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA7B4ST1E,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA9LTWR5Z,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DAA170YXN,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DAALUYZLX,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DAALUYZLX,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DAF0NX0SX,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
